Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20
2025-07-22,5634.65771484375,5664.269649930956,5561.12140937719,5621.825876305961,235846,,
2025-07-23,5645.51513671875,5682.530053691729,5596.6554463144175,5662.788764639474,246735,0.0019268999865595937,
2025-07-24,5599.61669921875,5677.101259572826,5578.394813261902,5650.450519068876,229097,-0.008130070753238128,
2025-07-25,5521.638671875,5624.293377251296,5497.94912448047,5599.616765381994,233003,-0.01392560089954542,
2025-07-28,5551.744140625,5595.668509770313,5498.936191203107,5524.106335320084,173142,0.0054522707006066096,
2025-07-29,5553.224609375,5581.849478495489,5499.923128943743,5529.0415302904485,363002,0.0002666673233671091,
2025-07-30,5672.65966796875,5684.010909691674,5554.211928251289,5554.211928251289,176798,0.021507334385884258,
2025-07-31,5696.34912109375,5749.650603079379,5645.51530031116,5671.672509063366,344973,0.004176075159023629,
2025-08-01,5723.0,5822.693515005174,5701.778113142463,5724.480596757502,244870,0.004678589450839876,
2025-08-04,5787.0,5802.0,5714.0,5752.5,189672,0.011182946007338712,
2025-08-05,5635.5,5795.0,5610.5,5795.0,380387,-0.02617936754795236,
2025-08-06,5402.5,5625.0,5371.0,5599.5,1123534,-0.04134504480525236,
2025-08-07,5476.5,5560.0,5380.5,5380.5,795974,0.013697362332253604,
2025-08-08,5387.0,5503.0,5380.0,5479.5,551451,-0.016342554551264543,
2025-08-11,5381.5,5400.0,5310.5,5361.0,598841,-0.0010209764247262054,
2025-08-12,5338.0,5390.5,5317.5,5390.5,323204,-0.008083248165009715,
2025-08-13,5375.5,5393.0,5299.0,5363.5,388683,0.007025103034844493,
2025-08-14,5302.5,5398.5,5298.0,5395.0,215308,-0.013580132080736718,
2025-08-18,5439.0,5667.0,5400.0,5400.0,509058,0.025742574257425765,
2025-08-19,5499.0,5513.0,5399.0,5446.0,153026,0.01103143960286812,5531.120288085937
2025-08-20,5701.0,5734.5,5475.5,5482.0,453573,0.03673395162756865,5534.43740234375
2025-08-21,5597.5,5711.5,5586.0,5701.0,273141,-0.018154709700052618,5532.036645507813
2025-08-22,5545.5,5667.5,5525.5,5622.0,269981,-0.009289861545332734,5529.330810546875
2025-08-25,5550.5,5608.5,5545.0,5565.5,145718,0.0009016319538364126,5530.773876953125
2025-08-26,5765.5,5794.5,5574.5,5574.5,1307463,0.038735249076659706,5541.461669921875
2025-08-27,5765.5,5765.5,5765.5,5765.5,0,0.0,5552.075439453125
2025-08-28,5721.0,5780.0,5702.5,5765.5,379247,-0.007718324516520658,5554.492456054688
2025-08-29,5824.0,5893.5,5671.0,5671.0,699161,0.0180038454815592,5560.875
2025-09-01,5846.5,5873.0,5779.0,5838.5,210421,0.0038633241758241343,5567.05
2025-09-02,5891.5,5920.5,5823.0,5840.0,492611,0.007696912682801704,5572.275
2025-09-03,5908.0,5928.5,5865.0,5891.0,399664,0.0028006449970297,5585.9
2025-09-04,6083.0,6336.0,6053.5,6201.0,1385580,0.02962085308056861,5619.925
2025-09-05,6076.0,6104.5,5998.5,6066.0,352302,-0.0011507479861909697,5649.9
2025-09-08,6115.5,6178.0,6065.0,6117.5,250083,0.006500987491770971,5686.325
2025-09-09,6142.5,6165.0,6088.0,6116.0,216456,0.004415011037527616,5724.375
2025-09-10,6199.0,6238.5,6117.0,6144.5,346491,0.00919820919820924,5767.425
2025-09-11,6300.5,6319.5,6150.0,6180.0,406083,0.016373608646555793,5813.675
2025-09-12,6247.0,6285.5,6207.0,6276.0,212051,-0.008491389572256147,5860.9
2025-09-15,6212.0,6270.0,6202.5,6250.0,166253,-0.005602689290859608,5899.55
2025-09-16,6202.5,6225.0,6180.0,6219.5,261236,-0.0015292981326464616,5934.725
2025-09-17,6097.5,6205.0,6035.0,6202.5,713445,-0.016928657799274438,5954.55
2025-09-18,6100.5,6129.0,6062.0,6105.0,267540,0.0004920049200491938,5979.7
2025-09-19,6069.5,6110.0,6048.0,6105.5,345995,-0.005081550692566217,6005.9
