Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20
2025-07-22,148.7616729736328,149.2119386023848,147.4598352120343,148.09607979753886,11381024,,
2025-07-23,149.12384033203125,149.36854632868005,147.52835245446724,148.79102882548068,7597121,0.0024345474957292446,
2025-07-24,148.0177764892578,149.5153761157271,147.51858159232472,148.8008387293711,5879844,-0.007417082609398551,
2025-07-25,143.84799194335938,148.52676980455203,143.47603401723,147.8024346156869,11646131,-0.02817083626574446,
2025-07-28,144.43527221679688,145.49240396689115,143.593482949259,143.84798675719082,6023438,0.0040826449191500025,
2025-07-29,144.80722045898438,145.0617093142514,143.39771155298865,143.39771155298865,4240012,0.002575189816717449,
2025-07-30,145.88392639160156,147.0095829838928,143.15301392835514,144.37654396193082,9331773,0.007435443683018184,
2025-07-31,142.53634643554688,144.08289015146153,141.26388718109175,143.44666052423398,11960546,-0.02294687316729227,
2025-08-01,138.04354858398438,143.192157486635,137.68138848062054,142.25249480340213,8981850,-0.031520366305965886,
2025-08-04,139.36497497558594,139.87395273505155,136.7612993814605,138.71894750895274,8163596,0.009572532763438835,
2025-08-05,138.27847290039062,139.97183426581486,136.4480618345057,139.5020029201967,11034758,-0.007796091344942635,
2025-08-06,139.25729370117188,140.24590055751008,138.70915465466084,139.47263617453962,7574568,0.007078620267135571,
2025-08-07,138.6699981689453,139.97183591766264,137.0353638354739,138.02397072630313,8365458,-0.004217341272528374,
2025-08-08,139.91000366210938,142.0,139.30999755859375,139.99000549316406,9551412,0.008942132469442532,
2025-08-11,141.41000366210938,142.9499969482422,139.35000610351562,141.60000610351562,11260944,0.010721177619454458,
2025-08-12,142.64999389648438,143.85000610351562,140.86000061035156,141.11000061035156,12858483,0.008768758943942023,
2025-08-13,142.42999267578125,143.39999389648438,141.6999969482422,142.64999389648438,4990372,-0.00154224486586918,
2025-08-14,140.1300048828125,143.16000366210938,139.86000061035156,143.0,11453732,-0.016148198492183408,
2025-08-18,140.30999755859375,142.60000610351562,139.25,142.0,11766741,0.0012844692036639849,
2025-08-19,142.00999450683594,142.1300048828125,138.8000030517578,140.39999389648438,8913748,0.01211600725409645,142.4939163208008
2025-08-20,141.44000244140625,142.6999969482422,141.2100067138672,142.00999450683594,5531826,-0.004013746126877327,142.12783279418946
2025-08-21,141.44000244140625,142.89999389648438,141.27999877929688,141.64999389648438,8746473,0.0,141.7436408996582
2025-08-22,139.9499969482422,141.8000030517578,139.4499969482422,141.39999389648438,5874783,-0.010534540918021529,141.34025192260742
2025-08-25,139.9600067138672,140.3699951171875,139.19000244140625,139.9499969482422,8282860,7.152387169173657e-05,141.1458526611328
2025-08-26,138.9600067138672,140.4199981689453,138.5500030517578,139.5,10846493,-0.0071448981997006555,140.87208938598633
2025-08-27,138.9600067138672,138.9600067138672,138.9600067138672,138.9600067138672,0,0.0,140.57972869873046
2025-08-28,138.49000549316406,139.92999267578125,138.10000610351562,139.0,8420916,-0.0033822768997910924,140.21003265380858
2025-08-29,136.6199951171875,139.49000549316406,136.4600067138672,138.49000549316406,10577763,-0.013502854370735617,139.91421508789062
2025-09-01,139.55999755859375,139.74000549316406,136.75999450683594,137.0,6229505,0.021519561897835215,139.9900375366211
2025-09-02,139.6199951171875,140.66000366210938,139.10000610351562,139.55999755859375,3714758,0.0004299051278542354,140.00278854370117
2025-09-03,140.49000549316406,141.39999389648438,139.50999450683594,139.60000610351562,4902101,0.006231273502382839,140.11336517333984
2025-09-04,139.67999267578125,141.6999969482422,139.35000610351562,141.17999267578125,4768126,-0.0057656259214982075,140.1345001220703
2025-09-05,139.64999389648438,140.6999969482422,138.47000122070312,139.4499969482422,4533550,-0.00021476790428032189,140.18349990844726
2025-09-08,140.89999389648438,141.88999938964844,140.0,140.0,5069174,0.008950949191781188,140.232999420166
2025-09-09,140.94000244140625,142.10000610351562,140.5,141.13999938964844,3636766,0.0002839499407734092,140.20949935913086
2025-09-10,141.13999938964844,141.7100067138672,140.80999755859375,141.25999450683594,4302236,0.0014190218871703575,140.13399963378907
2025-09-11,143.92999267578125,145.38999938964844,140.8699951171875,141.0500030517578,15031791,0.019767559148349045,140.20899963378906
2025-09-12,142.61000061035156,145.1999969482422,142.4199981689453,144.97999572753906,9001678,-0.00917107019106933,140.332999420166
2025-09-15,143.99000549316406,144.19000244140625,142.30999755859375,142.74000549316406,8158591,0.009676774959022971,140.51699981689453
2025-09-16,144.97999572753906,145.13999938964844,143.82000732421875,144.0500030517578,6389632,0.0068754093798684135,140.66549987792968
2025-09-17,145.94000244140625,147.24000549316406,144.9199981689453,145.0399932861328,9549049,0.006621649483776526,140.8904998779297
2025-09-18,147.14999389648438,147.27000427246094,145.50999450683594,146.0500030517578,8002633,0.008291019835798163,141.1759994506836
2025-09-19,148.5,149.9499969482422,146.72999572753906,146.99000549316406,14995288,0.009174353785330824,141.60349960327147
