Date,Close,High,Low,Open,Volume
2025-07-22,1462.316650390625,1470.6523559877205,1458.4464883845856,1462.8128219007424,8930165
2025-07-23,1477.2017822265625,1478.5910866693491,1461.3242940475627,1471.5454755170424,11974174
2025-07-24,1472.0416259765625,1477.3009711792895,1466.782159638216,1476.3086281822896,6700578
2025-07-25,1465.789794921875,1488.5144734435703,1462.31659448384,1488.5144734435703,8696077
2025-07-28,1477.00341796875,1482.3620946590604,1465.7898930637602,1465.7898930637602,7507479
2025-07-29,1474.8201904296875,1478.3927223132807,1464.1029581857863,1468.5685019046516,9776027
2025-07-30,1471.04931640625,1477.1025845983731,1465.9883912336757,1476.308661728485,7238625
2025-07-31,1470.0570068359375,1483.0566764606926,1452.7902136757805,1458.6450618514623,12406146
2025-08-01,1460.3319091796875,1473.7285394467383,1458.5457644921182,1469.0645758820863,4416771
2025-08-04,1451.9962158203125,1467.4768633867377,1450.1108610461113,1465.492177404952,6140054
2025-08-05,1433.3402099609375,1450.3092505192255,1429.96621963613,1441.8743352750153,14799343
2025-08-06,1432.54638671875,1442.866778550362,1430.561700640964,1431.2564134495642,7805252
2025-08-07,1429.271728515625,1436.8135113901221,1418.1574137897542,1430.0655302659995,7432535
2025-08-08,1424.9053955078125,1436.5157606227415,1421.0352334242946,1434.8288259088201,5415511
2025-08-11,1425.5999755859375,1427.3862414978396,1409.5240669213151,1416.9666396615337,8492484
2025-08-12,1422.0,1433.800048828125,1420.0999755859375,1431.0,5913947
2025-08-13,1420.800048828125,1427.699951171875,1415.199951171875,1424.5999755859375,9009465
2025-08-14,1427.300048828125,1431.0999755859375,1412.0,1412.0,7577793
2025-08-18,1434.5999755859375,1452.4000244140625,1431.0,1450.0,6908844
2025-08-19,1436.300048828125,1438.5,1426.300048828125,1431.0999755859375,6709554
2025-08-20,1430.5999755859375,1435.9000244140625,1423.0,1432.5999755859375,5817858
2025-08-21,1446.0,1447.800048828125,1436.4000244140625,1440.0999755859375,6238645
2025-08-22,1436.4000244140625,1446.0,1429.4000244140625,1444.300048828125,6657207
2025-08-25,1433.199951171875,1435.9000244140625,1424.0,1435.9000244140625,6738427
2025-08-26,1416.5999755859375,1427.9000244140625,1413.0999755859375,1427.9000244140625,8720155
2025-08-27,1416.5999755859375,1416.5999755859375,1416.5999755859375,1416.5999755859375,0
2025-08-28,1399.0999755859375,1411.800048828125,1396.300048828125,1408.0,12990789
2025-08-29,1397.800048828125,1405.0,1392.0999755859375,1392.0999755859375,8519507
2025-09-01,1411.0,1412.4000244140625,1398.0999755859375,1398.0999755859375,4927348
2025-09-02,1394.199951171875,1413.9000244140625,1390.0,1413.9000244140625,7163073
2025-09-03,1397.0,1400.0,1384.199951171875,1389.0,9813382
2025-09-04,1405.5,1415.0999755859375,1401.9000244140625,1409.9000244140625,10564859
2025-09-05,1402.800048828125,1411.5,1387.699951171875,1411.0,6621077
2025-09-08,1402.699951171875,1410.5999755859375,1397.5999755859375,1402.199951171875,5880943
2025-09-09,1403.699951171875,1407.5,1395.199951171875,1399.0,6470679
2025-09-10,1403.9000244140625,1413.699951171875,1402.0999755859375,1410.0,7452347
2025-09-11,1401.5999755859375,1408.0,1396.0,1398.0,10192026
2025-09-12,1417.699951171875,1419.699951171875,1400.0999755859375,1405.0999755859375,7770038
2025-09-15,1419.4000244140625,1426.800048828125,1416.300048828125,1422.0,5845637
2025-09-16,1421.5999755859375,1424.9000244140625,1413.699951171875,1414.0,8213151
2025-09-17,1419.199951171875,1426.0999755859375,1416.4000244140625,1420.0999755859375,7484283
2025-09-18,1421.699951171875,1432.800048828125,1415.300048828125,1431.0999755859375,8130537
2025-09-19,1402.199951171875,1418.0,1400.199951171875,1416.0999755859375,13457344
